hypothesis,premise,label
Les hommes regardent l'eau.,Personnes qui regardent l'eau.,1
Trois hommes crient l'un contre l'autre dans la rue.,"Deux jeunes enfants asiatiques, colorant sur un mur.",2
Un skieur aide un autre skieur.,un skieur aidant un autre skieur à sortir de la neige,0
Un garçon utilise un ordinateur.,Un garçon vérifie un système sur l'ordinateur.,0
Un couple se trouve sur un pont.,Un couple est assis pour regarder le coucher de soleil à partir d'un pont.,2
Les hommes ne touchent pas.,"Quatre hommes sont en rouleaux dans une ligne, les trois derniers gardant les hanches de l'homme en avant.",2
Un homme grimpant dans une roche.,Un homme en violet avait monté un mur rocheux avec ses mains.,0
Une jeune femme écoutant un discours lors d'une réunion d'affaires.,Une jeune femme présente un exposé sur Wikipedia.,2
Les fans célèbrent un grand concert.,Les amateurs sportifs enthousiastes célèbrent une victoire.,2
Une femme fait du maquillage.,Une jeune femme ayant des points saillants rouges dans ses cheveux applique l'ombre oculaire avec une aide Q devant un miroir.,0
Les deux chiens mangent dans la cuisine.,Un laboratoire brun et noir se trouve à l'extérieur et le laboratoire noir capture un jouet dans sa bouche.,2
Un homme et une femme dansent.,Un homme et une femme dansent.,0
Un garçon colorant à une table.,Un garçon qui mange à une table.,2
La fille est africaine,Une fille américaine africaine qui regarde par un télescope.,0
Une femme en Jeans portant un sac à achat a tout juste manqué son autobus.,Une femme portant des jeans laminés et une chemise noire marche sur un autobus transportant un sac à commerçant.,1
L'homme surfe.,Un homme en combinaison humide noire à cheval sur une vague océanique de taille moyenne.,1
Il y a des gens qui marchent dans une rue.,Les gens marchent sur le trottoir à côté d'une ligne de magasins.,0
Un jeu en cours.,Deux hommes en chemises bleues et six femmes en ballet.,2
Les végétariens mangent des bananes.,Cinq hommes asiatiques mangent à une table à côté de la viande sur des crochets de viande.,2
Deux hommes en costume clown exécutent une chanson.,Deux hommes en costume clown chantent une chanson.,0
Un homme est assis sur le canapé.,Un homme noir en courtes rouges et une chemise blanche se trouvent à la porte d'une maison rouge.,2
Une mère joue avec son fils.,Un jeu de légumineuses jouets est apparu dans l'avant-plan tandis qu'une femme et un enfant jouent avec elle en arrière-plan.,1
Il y a deux personnes qui se trouvent.,Il y a une personne dans des pantalons rayés de zébrés et une autre personne dans une paire de pantalons imprimés de giraffe.,0
Deux chiens chassent les chats dans un champ.,Les deux chiens ayant des vêtements se trouvent dans un champ plat non coupé.,1
La femme souffre de faim.,Une femme consomme quelque chose en public.,1
Un groupe d'enfants qui se rassemblent autour d'une fille pour l'aider à s'en sortir après sa chute.,Un groupe d'enfants d'origine orientale qui se rassemblent autour d'une fille dans une chemise jaune.,1
Les travailleurs se préparent à faire une route parallèle.,Les travailleurs du travail dur déplacent du gravier le jour des pluies.,1
Les hommes sont des amis,Un homme en shorts et une chemise rose marche avec un autre homme portant des jeans bleus et une chemise bleue à boutons à travers une place urbaine en Europe.,1
le jeune homme porte un manteau noir et une calotte noire,Un jeune homme à capuchon et à manteau boutonné se trouve avant la construction.,1
Un Texaque travaille sur le toit.,Un homme dans un chapeau de Longhorns du Texas utilise un canon à ongles sur un toit.,1
Les trois garçons sont à l'extérieur.,Trois garçons jouent le football dans l'herbe.,0
Une femme roule dans la pluie.,Une femme portant un veste rouge mène une course à travers la pluie.,0
Les membres d'équipes sportives marchent sur un terrain grassier vert.,"De nombreux membres d'une ligue sportive, dont certains en blanc et d'autres en bande rouge, marchent sur un terrain verdoyant.",0
Une femme regarde quelque chose.,Une femme plus âgée avec une promenade et une veste rouge enveloppée autour de sa taille et regardant un parc d'agrément.,0
Une personne jouit d’une journée d’été chaude au parc,Un individu dorme sous un arbre.,1
Les garçons regardent sombrement après avoir perdu le jeu.,Deux jeunes garçons se divertissent et sautent à partir d'un jeu de swing.,2
La femme nageait dans une piscine.,Un cycliste traverse le sentier rocheux.,2
Deux personnes portent des uniformes de travail.,Deux travailleurs dans des vestes réfléchissantes marchent devant un mur peint avec l'image d'un mannequin dans un veste réfléchissant avec des bottes en caoutchouc et une troe.,0
Une femme en colère se tient sur le trottoir.,Une femme en colère debout sur le trottoir.,0
Un homme est debout,Un homme se tient derrière un mécanisme.,0
Il n'y a qu'une seule personne.,Un homme dans une chemise blanche travaille sur un ordinateur portable tandis qu'un autre homme dans une chemise noire indique quelque chose sur l'écran avec un stylo.,2
L'homme à cheveux gris est à l'extérieur.,Un homme à cheveux gris marche sur la rue.,0
Un groupe de personnes assises à une table de pique-nique sous une tente décorée du drapeau.,Un groupe de personnes assises à une table de pique-nique sous une tente décorée de drapeaux et d'étoiles.,0
Un sculpteur en marbre sculpte un joli chateau.,Un sculpteur en marbre sculpte un type de monstre.,2
beaucoup de gens regardent les avions,De nombreuses personnes assistent à une exposition aérienne.,0
Un chat fait son aiguillage quotidien.,Image de fermeture d'un chat qui lise sa jambe avant.,1
Les gens siègent.,Un groupe de personnes assises par un lac.,0
Une femme est assise devant une grande pièce d'art.,Une femme en châssis noire se trouve devant une très grande pièce d'art dans une énorme pièce.,0
Il y a une personne qui n'est pas claire.,Un homme assis sur des escaliers dans les ombres.,0
Les chiens courent dans un grand bol d'eau.,Les chiens sont joints à un harnais rouge.,2
deux enfants soufflent des bulles,Un homme dans une chemise noire et une femme dans une chemise brune soufflent des bulles avec des couteaux roses.,2
Une femme ne peut trouver son chien dans le parc.,Une femme dans une jupe sportive bleue et un dessus-citerne s'aperçoivent peur dans un parc.,1
Ils jouent le baseball.,un jeu de baseball a lieu,0
Deux chiens se préparent à se battre.,un chien noir se rapproche d'un chien d'or sur la plage pebbly.,2
Ils les aiment.,"Deux personnes affichent leurs tatouages crâniens correspondants, tandis que deux autres personnes regardent.",1
Deux personnes conduisent des camions sur une colline.,Deux personnes portant des uniformes de course utilisent des motocyclettes de course.,2
Une fille est assise sur la couche.,Une jeune fille dans un vêtement de bain orange joue sur la rive de la plage.,2
Elle déplace ses muscles,Une jeune femme danse devant un bâtiment.,0
Deux enfants sont à l'extérieur ensemble.,Deux enfants en veste orange se trouvent dans l'herbe.,0
Les trois chiens dorment.,Deux chiens se battent sur un jouet et un autre chien les chasse.,2
Les chiens sont à l'extérieur.,Un chien brun en odeur de queue d'un chien gris.,1
Un groupe d'hommes et de femmes tenues joyeusement est des robes noires officielles.,Un groupe d'hommes et de femmes habillés est des robes et des combinaisons noires formelles qui tiennent leurs livres de musique et chantent.,1
L'homme marche sur le terrain avec une femme,Une fille dans une chemise rose et un homme dans une chemise blanche marchent dans un champ.,1
Une personne est habillée en vert et porte des courtes en face des collines vertes.,"Une personne, vêtue d'un capuchon vert et d'un court-métrage, est en face d'une vue de collines vertes.",0
Un homme dorme,"Un homme plonge du bord d'une roche, tandis que deux autres le captent.",2
une personne prend son chien pour une marche,Une personne en court avec un veau tatoué tient la ceinture d'un grand chien blanc dans une veste bleue.,1
Un homme et un garçon à la recherche de gemmes dans l'eau.,"Un homme en khakis blancs, un chapeau blanc, un t-shirt noir et un veste gris et un jeune garçon en t-shirt blanc et des courtes foncées semblent pêcher ou chercher des gemmes précieuses dans l'eau bouillante.",0
Le bâtiment est ancien et extérieur.,Un vieux bâtiment se trouve au coin d'une rue,0
Les hommes sont froids,Deux hommes plongent de la neige sur une voie ferrée habillée de vêtements de neige orange vifs.,1
Les gens lisent un journal.,Un homme et une femme lisent des journaux sous un grand arc.,0
Un enfant se dirige vers une fontaine.,Un jeune enfant se pointe à une grande fontaine de pulvérisation.,0
Les gens sont occupés au travail dans une usine.,Les travailleurs chinois travaillent dans une usine.,0
Une femme prend une tarte du four.,un homme qui prend une pizza hors du four,2
Les enfants jouent dans le parc.,Deux jeunes garçons se trouvent dans des boîtes dans la salle de séjour près de quelques chaises décoratives.,2
Une personne fait la blanchisserie.,Une femme enlevant les vêtements d'un séchoir.,0
Il y a un spectacle.,Un spectacle de grande envergure à sa finale.,0
Le mari a annulé le mariage et la mariée a crié,Une mariée rire à l'aide d'un homme plus âgé qui parle dans un microphone.,2
Les femmes nettoyent la salle de bains.,Une femme qui tient un broom dans une petite salle de bain; une autre femme est juste à l'extérieur de la porte parlant avec elle.,1
Un garçon qui tente de s'écarter du mur.,Un petit garçon portant une chemise jaune se tient à côté d'un mur rouge.,1
Une habileté humaine,Femme exécutant dans une belle robe blanche avec microphone et entourée de musiciens lors d'un festival de jazz.,1
Un travailleur inspecte sa machine.,Un travailleur qui veille à ce que sa machine fonctionne correctement.,0
Les oiseaux se rassemblent.,Un groupe d'oiseaux à l'extérieur d'un bâtiment.,0
Une femme habillée pour l'événement sportif.,Une femme dans un chapeau séquine avec peinture rouge.,1
Les adultes regardent leurs enfants jouer dans un château plein de ballons.,Les adultes portant des chapeaux de ballons regardent les enfants jouer dans un château de ballons.,1
Le garçon est géologue,Un petit garçon regarde une roche avec un magnifier.,1
L'homme prend une photo du soleil venant dans le désert.,Un homme qui prend une photo d'un pont sur la rivière au coucher du soleil.,2
Une tornade éloigne les gens,Trois personnes se trouvent sur un banc sous la palme.,2
Toutes les personnes se trouvent autour d'un cercle.,Un homme en vêtement de couleur claire photographie un groupe d'hommes portant des costumes et des chapeaux foncés autour d'une femme vêtue d'une robe sans sangles.,2
Une femme qui regarde une voiture.,Une femme regardant à l'extérieur d'une fenêtre.,1
Une famille entière est en train de faire des achats dans la ville.,Deux hommes se trouvent sur des chaises pliantes sur un patio et parlent.,2
Une femme en escalade sans cordes de sécurité.,Une femme en escalade sur une falaise.,1
Les gens attendent en ligne pour obtenir une soda.,Les gens attendent en ligne pour leur boisson préférée.,1
Il se trouve à la plage.,Un homme dans un vêtement humide noir surfe dans l'océan.,0
Un homme se trouve sur un trottoir.,Un homme plonge une roue de ciment sur un trottoir.,0
Le train a été arrêté.,"Jeune fille regardant à l'extérieur de la fenêtre du train, attendant son arrêt.",2
Un jeune garçon en uniforme de basket-ball s'ennuie.,Un jeune garçon en uniforme de football a un regard excité sur son visage.,2
Un homme se prépare à prendre sa photo.,Un homme noir ayant des cheveux facials porte un chapeau de marine et une veste bleue devant un fond blanc.,1
Un garçon demande le ballon lors d'un match de soccer.,Un garçon en noir s'enfonce les bras tandis que d'autres sont derrière lui sur un terrain.,1
Un chat se pose à côté d'une balle rouge.,Un chien brun et noir pondant à côté d'une balle colorée.,2
Un garçon et deux femmes se promènent sur le côté du pays.,Un garçon dans une chemise bleue et des shorts bruns et deux femmes portant des vêtements colorés marchent dans une rue d'arrière-plan où se trouve le bétail.,0
Les enfants participent à une course en sacs,Un groupe d'enfants se divertit dans la course à sacs.,0
Personnes dans un restaurant.,Personnes assises dans un restaurant occupé.,0
Une femme est curieuse de la roue.,Une femme portant un chariot de main blanc et une robe bleue légère en regardant une roue de wagon.,1
Deux enfants jouent dans la cour.,Deux enfants bouillant sur des balles dans la cour,0
Les gens sont des randonneurs.,Un groupe de gens marchent sur un sentier en amont d'une montagne.,1
Une femme marche dans le désert.,Un homme qui se tient dans l'eau utilise sa jambe pour évaporer.,2
Un homme photographie un mariage.,Un homme qui s’enquête dans l’avant-plan d’une photographie alors qu’il prend une photographie de son propre d’un homme qui fait une knie de skateboarding à mi-air au-dessus d’un court vol d’escaliers à l’extérieur.,2
L’homme en manteau vert portait des lunettes pour lire son livreo,"Un homme portant un manteau vert et un écouteau de plaide, porte des lunettes et lit un livre derrière un toit bleu.",0
L'homme est à l'extérieur.,L'homme blond danse avec une femme à l'extérieur.,0
Les hommes marchent dans un parc qui tient les mains.,Deux hommes marchent le long d'un chemin.,1
Une femme en rose et un homme se trouvent à proximité.,"Une femme ayant un ballon rose et portant une tiara rose floue, et un homme avec sa tête inclinée légèrement vers l'avant et souriant avec sa bouche à large ouverture se trouvent à côté de l'autre.",0
Les enfants dans la salle de classe écrivent.,"Deux enfants, l'un en manteau bleu et l'autre en manteau vert, jouent dans la neige avec des pelles.",2
Un homme tient un bâton.,Une femme gardant une corde contre un courant de rivière.,2
Un garçon roule.,Un garçon à peinture de visage roule sur une piste.,0
L'homme a les deux armes libres.,Une femme qui tient un sac d'épicerie se tient à côté d'un homme qui tient un sac d'épicerie et d'un chien sur une laisse.,2
Une image floue de bouteilles.,Plusieurs bouteilles sont floues dans l'arrière-plan.,0
"L'homme est froid, mais il n'a pas de manteau.",Un homme plus âgé portant une barbe portant un béret et un manteau de tan lève le journal.,2
Une fille s'envole dans la rue.,Une jeune fille asiatique portant des flops et une coiffure de soleil flottante emprunte la rue.,0
Deux personnes sont à l'intérieur.,"Dans un laboratoire plein de verre, un scientifique portant un manteau blanc dispense soigneusement des liquides dans un autre contenant tandis qu'un autre regarde attentivement.",0
Une foule regarde un match professionnel de tennis.,Trois hommes et une petite foule d'autres personnes regardent un jeu de tennis.,1
L'homme et la fille sont à l'intérieur,Un homme joue une guitare pour une petite fille dans un hôpital.,0
Un homme mange.,Un homme dans une chemise noire mange avec ses mains.,0
2 hommes bien habillés sont à l'extérieur,Deux hommes vêtus de vestes et de chapeaux se trouvent sur une terrasse,0
Il y a une bande sur la scène.,Un groupe de personnes se trouvent sur une scène avec plusieurs microphones sur des stands.,1
La fille emprunte.,La fille s'étend à proximité d'un étang.,0
Un garçon jouant son jeu vidéo de télévision,Un garçon saute d'une corde dans l'eau.,2
Le garçon a des cheveux blonds.,Le garçon a des cheveux blonds et un visage muré.,0
Les gens ont leurs pieds sur le sol.,"Plusieurs personnes se trouvent dans une zone boisée, avec un véhicule récréatif en vue claire, deux hommes plus âgés et deux enfants peuvent être vus, dont une jeune fille souriante.",0
Il se trouve sous la voiture.,Un homme qui se tient devant une voiture tient ses mains.,2
l'enfant est jeune,La femme plus âgée parle à l'enfant.,1
Une femme fixe le toit.,Un toiteur dans une veste noire mettant des tuiles sur un toit.,1
Il y a des chats qui se trouvent sur le balcon.,Un jeune noir sur bicyclette emprunte le mauvais chemin dans une rue urbaine surpeuplée.,2
Un homme est sur le point d'avoir un jeu parfait.,Un homme portant des lunettes avec une chemise bleue et des jeans bleus vient de libérer une balle de bowling noire dans une piste de bowling.,1
Le groupe de femmes attendait leur conducteur.,Un groupe de jeunes hommes en violet se préparent à prendre un collègue d'équipe.,2
Personne ne danse sur le plancher de la danse.,"Une femme mature et un homme âgé dansent sur un plancher de danse avec quelques autres couples, les lumières sont toutes rouges et vous pouvez voir une tentative de bloquer la lumière de jour avec des rideaux rouges en fond.",2
Un enfant se balade sur un poil alors qu'un enfant plus âgé et un adulte se trouvent près de lui.,Un enfant joue un poil alors qu'un enfant plus âgé et un adulte se trouvent à côté de lui.,0
Un couple tient sa fille sur une série de grandes étapes.,"Un couple tient son enfant sur une série de grandes étapes, tandis que d'autres traversent également les étapes.",1
Un chien est brun.,Le petit chien brun se couche tandis que le chien noir le bat.,0
un homme est holidng une boisson,L'homme en shorts et en t-shirt marche et tient une boisson devant une voie d'accès.,0
La personne a un cheval qui les tire.,Une personne en bleu qui a été tirée sur un buggy en passant par un panneau d'arrêt.,1
Le chien marche avec son propriétaire.,Un chien noir marchant par l'eau d'épandage dans un ruisseau rocheux.,1
Un homme aide une femme à remplacer sa chaîne de pneus du côté de la route.,Un homme aide une femme avec sa bicyclette.,1
une femme dorme.,Une femme ayant un microphone le tient à une autre femme.,2
Un mur est peint.,"Deux personnes, en blanc, peuvent peindre un mur.",0
L'homme porte un casque.,"la piste, l'homme avec le casque jaune à quatre roues et le casque noir se déplace autour de la route de terre.",0
Un homme faisant des coups de dos dans le bassin,Un homme dans un petit vêtement de bain bouillant sur un squelette à un endroit touristique,2
Un couple passe du temps ensemble.,Un couple partageant sa vie,0
Les enfants ont un grand temps.,Trois enfants se trouvent au sommet d'un mur de fontaine qui est plongé par le soulèvement de l'eau.,1
Un homme qui prend une pause bien nécessaire,"Un homme se tient à côté d'un banc, boire une soda tandis que d'autres se trouvent sur un banc à proximité.",1
Il y a un bicycliste et des piétons devant un bâtiment.,Un cycliste et d'autres piétons sont illustrés devant un édifice historique magnifiquement préservé.,0
Les étudiants du collège surfent dans l'océan.,Les étudiants du collège apprécient le temps d'aller en classe dans un domaine.,2
Les enfants jouent à l'extérieur.,Certaines personnes naviguent sur un marché extérieur.,2
Les gens font la blanchisserie à leur maison.,Deux hommes se tournent au-dessus pour parler à un homme dans une voiture de course rouge.,2
la femme coupe ses cheveux d'amis,Un homme obtient sa décote par un autre homme avec un rasoir.,2
Un enfant dans une veste faisant un stand à main sur l'herbe.,Un enfant dans une veste rouge faisant un stand à main sur l'herbe verte.,0
Une foule de vieilles femmes assises autour.,un groupe de joueurs d'instruments sur une scène,2
Un jeune homme élimine son jardin.,un surfer surfe une vague.,2
La famille ne se voit pas l'un l'autre depuis des décennies.,Portrait de la famille prise sous un couvert blanc.,2
Une femme est à côté des véhicules.,Femme standing dans un terrain de stationnement par des véhicules.,0
Un homme cire un surfboard.,Le jeune homme emprunte une vague océanique sur le navire jaune.,2
L'homme est haut au-dessus du sol.,Un homme se trouve sur une falaise donnant sur une ville.,0
La scène est en soirée.,La scène urbaine asiatique de personnes dans la rue avec des lumières claires et des bâtiments en verre derrière.,1
Un homme tourne à une balle.,Un homme swinge son racket à un ballon de tennis.,0
Une petite fille joue dans le jardin.,Une petite fille peint une image.,2
Un homme afro-américain se tient au dessus d'un faisceau qui se prépare à exécuter un jeu de gymnastique.,Un homme d'ascendance africaine se trouve au dessus d'un faisceau.,1
L'homme chante comme il joue la guitare.,Un homme avec des lunettes jouant une guitare argentée.,1
Le joueur de basket-ball est assis sur une bordure avec ses amis.,"Le joueur de basketball de Penn State, le numéro 11, tire pour le panier avec le ballon juste laissant ses doigts.",2
un homme est utilisé par un objet bizarre exploité par des scientifiques,Un homme en chaussettes rayées et un sauter brun et blanc utilise un type d'objet que je n'identifie pas correctement.,2
Un groupe d'hommes dans un défilé jouent des rôles en costumes militaires,"Un groupe d'hommes est habillé dans d'anciens costumes militaires, portant des instruments comme si ils étaient dans un défilé.",1
Une fille se trouve à côté d'un cactus.,Une petite fille qui regarde derrière un arbre.,2
Un magasin vend des fruits et des couvertures à un rabais.,Un marché avec des fruits et des couvertures qui s'apprêtent sur le toit et qui est de couleur bleue et blanche.,1
L'homme sans chemise s'enfonce sur un poste.,L'homme sans chemise s'incline contre le poste noir.,0
L'homme est habillé officiellement.,Un homme en costume noir regarde une carte.,0
Les gens à l'extérieur sont tous des zombies.,Une rue ville très occupée la nuit avec des bicyclistes et des taxis dans la route.,2
Le mari et l'épouse se baignent au mariage.,L'homme et la femme se baignent à leur mariage en regardant la foule.,0
Un jeune homme joue une flûte.,Un jeune homme dans une chemise et une calotte brune a un refroidisseur bleu et rouge prêt à aller.,2
Le chien brun se déplace rapidement.,Un chien brun traverse un cours d'obstacle.,0
Deux chiens sont amoureux.,Deux chiens noirs se collent.,0
Un homme mince portant une chemise bleue est embusqué sur la joue par une femme blonde portant une chemise noire.,Un homme musculaire portant une chemise orange est embusqué sur la joue par une femme blonde portant une chemise noire.,2
Deux hommes poussent un camion.,Deux hommes poussent un camion qui a une image d'une femme sur lui.,0
Une femme achète un nouveau chien.,Une femme dans un chandail gris et une calotte de baseball noire se tient en ligne dans une boutique.,2
Une femme plus âgée dessine dans un studio.,Une femme plus âgée dessine à l'extérieur d'une vieille école.,2
Un homme d'affaires va travailler.,Man in suit jacket and tie walking.,1
La femme est blanche,"Une femme en robe blanche siège devant un homme dans un tuxedo, tous deux devant un arbre.",0
Le joueur de tennis retourne un service pour un point,Un joueur de tennis portant un dessus noir et blanc et des pantalons noirs frappe le ballon de tennis.,1
Un homme plongée au milieu d'une nuit d'été.,Un homme plonge la neige durant un lever de soleil.,2
L'enfant porte un manteau.,Un jeune enfant blond dans une chemise blanche de polo utilise une brosse à dents sur une statue de grenouille.,2
Un interprète joue sa guitare à l'extérieur.,Un homme debout et de guitare à une plaza de la ville presque vide.,1
L'homme de l'hôpital avait des cheveux blondes.,Un homme à cheveux foncés dans une robe d'hôpital s'enfonce avec sa tête contre un oreiller et un tube respiratoire dans son nez.,2
La femme dévoile sa robe qui était cachée sous son enveloppe.,Une femme sortant d'un grand clocher révélant une robe extravagante,0
"Le chat noir a capturé la balle pourpre, alors qu'il se tenait sur deux pattes.",Le chien blanc gardant une frisbee rose dans la bouche saute avec les quatre pieds au sol.,2
L'homme roule à l'extérieur.,"Un homme sans chemise en courtes et en chaussures emprunte le long d'une plage, tandis que les enfants jouent dans le surf et un surfer regarde les vagues.",0
Une personne asiatique s'occupe de ses plantes à l'extérieur.,"Une fille asiatique s'approvisionne à proximité de l'allée, alors qu'une femme passe sur le trottoir.",0
Le groupe de marins se prépare à bord du navire.,Un groupe de marins marche le long d'un trottoir dans une ligne.,1
Les gens se trouvent à l'extérieur.,Trois personnes siègent sur le trottoir de la route.,0
La petite fille se trouve dans sa maison.,"Une petite fille, avec de longs cheveux blonds et portant une robe, regardant sa réfection dans un puddle.",2
Un garçon prenant une promenade,Un garçon dans une chemise blanche et des courtes courtes jaunes marche dans une marche de nuit.,0
Quelques personnes s'arrêtent à boire à l'extérieur,Trois personnes se trouvent à l'extérieur d'un restaurant de restauration rapide avec leurs boissons.,0
Il y a un enfant qui joue dans l'eau.,Un garçon en tronc de nage bleu se glisse dans une glissière jaune dans une piscine à l'eau avec des jouets gonflables flottant en eau.,0
Le groupe d'hommes tient des bâtonnets légers.,Un groupe d'hommes en engins réfléchissants tient des bâtonnets d'éclairage pendant qu'ils se trouvent sur un plancher en bois où l'éclairage est en plein air.,0
Une femme qui boire un café à l'extérieur.,Une femme en bottes de pluie bleue mange un sandwich à l'extérieur.,2
Les femmes préparent des pâtisseries à l'intérieur.,Les femmes préparent des aliments frits sur un marché extérieur.,2
Une femme mange un sno-cone sur un banc à la plage.,Personne assise à un bureau dans une bibliothèque.,2
La femme est souriante.,Une souriante femme asiatique qui tient son bébé,0
Ils se trouvent dans un parc de patinoires.,Deux patineurs regardent sur la rue tandis qu'un autre patineur se prépare à faire un ralentissement.,0
Il y a un garçon qui joue dans la rue.,un homme dans une chemise vert brillante et un chapeau dur monte un arbre.,2
Un mari et une femme apprécient une promenade agréable le soir.,L'homme et la femme franchissent la rue à l'aube.,1
Une femme fait des achats de fenêtres.,Une petite femme marche dans une rue humide et porte un parapluie rouge.,1
Une personne conduit une motocycle.,Une personne porte un veste que le mot paramédic sur le dos.,2
Deux enfants sourire pour la caméra.,Deux jeunes enfants - un garçon en gris foncé et une fille en blanc - sourient pour l'appareil photo en plaçant sur des oreillers.,0
Il n'y a pas de gens autour.,Les gens marchent sur le trottoir le long d'une zone de construction.,2
Une personne parle aux filles.,La garde demande aux filles s'ils ont les billets pour le concert.,0
Un homme parle à un groupe de personnes.,"Un homme en chemise rouge donne une conférence dans un auditorium, deux hommes assis à un bureau à l'avant de la salle complète.",0
Les gens prennent la parole.,Un homme et un jeune garçon se trouvent à l'extérieur et prennent une pause à courir un vélo.,2
Quelque chose brûle.,Un groupe d'hommes dans des manteaux de laboratoire blancs qui regardent quelque chose de brûler.,0
Les gens cherchent un téléphone cellulaire perdu.,Un groupe de personnes qui regardent dans une zone ombragée de terre ou de pierre.,1
Un homme est perdu dans le désert.,Les gens marchent dans un parc avec des haies manufacturées le long de la promenade.,2
Pêcheur en montagne,"Un pêcheur se tient sur certaines roches par la mer, illuminées par le soleil, qui se trouve près de l'horizon.",1
Le trafic lourd d'un dimanche fait attendre un homme pour franchir la route.,Pas de trafic parce qu'il s'agit du dimanche et que l'homme attend de franchir la route.,2
Les agriculteurs choisissent leurs cultures.,Les agriculteurs récoltent des cultures sur un terrain.,0
Deux enfants jouent sur la plage.,Trois enfants sombres sur un tricycle d'eau.,2
Un homme se tient seul et pose une image dans un champ grassier,"Un homme portant une perle verte pense qu'il est cool, tandis qu'un autre regarde en horreur à une bouteille qui apparemment a atterré sur la perle verte dans un jeu, tout tandis qu'une fille dans une jupe sourit à la caméra.",2
Une vieille femme et un enfant sont servis par un Français,une vieille femme et un enfant se trouvent à une table verte ornée tout en étant servis par une personne africaine.,2
Un homme pêche.,Hommes autochtones pêchent dans un canot d'étang sur une baie bleue vert.,0
La femme conduit une voiture.,Un homme qui joue les boues de baguette dans des boues traditionnelles joue alors qu'il marche sur une rue de pierre humide.,2
Un garçon siège dans une bibliothèque.,Un garçon est assis dans une chaise sphérique en lecture d'un livre dans une pièce avec un plancher en bois et des livres en avant.,1
Une fille est à l'extérieur de jouer.,Une petite fille saute la corde dans un stationnement,0
Une voiture bleue s'adresse aux gens dans la direction opposée de laquelle ils se trouvent.,Une foule importante de gens marchent pour le remède à une journée grise et écrasée où une voiture bleue se dirige dans la direction opposée.,0
Une femme sans abri espère ne pas mourir en hiver.,"Une journée froide, la femme sans abri cherche son prochain repas dans une dumpstere.",1
Le bicycliste semblable arrête de pédaler et place le pied gauche sur le sol.,L'homme fatigué en chemise blanche arrête le cyclomoteur et place le pied gauche sur le sol.,2
Une bande joue une chanson pour une foule d'observateurs.,"Trois musiciens de jazz masculins, tous en noir, jouent plusieurs instruments sur scène lors d'un festival de jazz.",1
Une personne transporte quelque chose.,Une femme d'un sac à achat vert se trouve devant un panneau « Nous venons à Aberdeen ».,0
La femme a capturé un poisson et montre son partenaire.,"Un couple s'asseoira sur un barrage par l'eau, la femme s'incline vers l'avant, l'homme regarde vers l'eau.",2
L'homme est fier du poisson qu'il a capturé dans le lac voisin.,"Un homme dans une veste bleue sourire à la caméra, placé devant un lac ou une grande rivière ensoleillée en plein soleil.",1
Le garçon est assis,Un garçon battant un ballon.,2
Une personne portant des chaussures et une chemise en vélo.,Une personne en chaussures bleues et en chemise rose avec des écouteurs en vélo.,0
Femmes exécutant le ballet,Quatre femelles d'ascendance asiatique portent des robes d'or pendant qu'elles exécutent le ballet pointu.,0
Le garçon est à un spectacle de chiens.,un jeune patinageur qui saute sur une plate-forme sur un patinage.,2
Les chiens se trouvent dans un parc.,Deux chiens roulent pour un bâton.,1
Des Indiens dansent devant la foule,Les femmes indiennes dansent devant la foule,2
L'homme est froid.,Un homme en cardigan se trouve devant un autobus et un signe religieux.,1
Un groupe de personnes qui se préparent à éliminer un incendie.,Un groupe de personnes se trouvent à côté d'un camion de pompiers.,1
Une fille dans une veste de ski rouge pose pour la caméra.,Une fille dans une veste rouge rire à la caméra.,1
Un homme tuning son violon.,Une bande de 4 membres exécutant.,2
Deux hommes jettent une balle.,"Deux hommes, un en uniforme de baseball, jettent un ballon.",0
Deux chiens jouent dans une maison.,Il y a deux chiens qui jouent les uns avec les autres.,1
Il y avait beaucoup de bougies sur le gâteau.,Le garçon et sa famille célèbrent son anniversaire avec un gâteau éclairé.,1
Deux personnes se tournent l'un sur l'autre.,"Deux personnes se regardent les uns les autres, une troisième personne n'est pas attentive.",0
les hommes visitent le centre commercial pour faire des achats,Deux hommes en combinaisons bleues portant des boîtes noires marchent à l'entrée de l'Église Saint-Pierre.,2
Un groupe d'amis assis pour regarder un film,Un groupe de personnes qui attendent en ligne.,2
Un lapin roule dans les champs.,Un chien regardant la caméra dans la neige.,2
L'homme joue le djembe.,Un homme qui joue un djembe dans une foule de gens.,0
Le chien est humide.,Tan et chien blanc en eau.,0
Il y a un homme qui joue la trompette.,Un homme portant une chemise pourpre joue une trompette.,0
Un homme marche sur le trottoir,Le dos d'un homme en pantalons de camouflage gris et d'une chemise jaune marchant sur le trottoir.,0
Un pilote réalise des rabais dans un avion au-dessus de l'eau.,Un avion rouge au-dessus d'un bateau en traînant la fumée rose.,1
La femme est dormante.,Une jeune femme en costume sourire au moment où d'autres se rassemblent.,2
Le skieur saute la rampe.,Un homme qui emprunte sa bicyclette près de l'océan.,2
Les femmes marchent seules.,Un homme en lunettes portant un cap et une veste de style militaire s’envole à la main droite et s’assise devant un autre homme en robe militaire.,2
Une fille en vêtements chauds pose.,Une fille portant une chemise violette et des shorts de tan est placée dans un mouvement de danse.,0
Un jeune enfant saute.,Un jeune enfant saute sur un château gonflable,0
